***************************
 LISFLOOD-FP version 5.99.0
***************************

 This is a modified version 5.9 including Basic Model Interface (BMI) compatibility

***************************

 The model needs therefore be executed accordingly!

***************************

Loading parameters... 
Using acceleration formulation for floodplain flow
Using acceleration formulation for floodplain flow
Reading parameters done.


Start Date: 9/8/2026 
Start Time: 17:10:41 


Loading DEM:	mahanadi.asc
1312x973
BL corner	(440847.597798,2130377.223441)
NODATA_value	-9999.000000
Done.

Loading channel information:	mahanadi.river
1 Channel Segment
377 points in channel segment 0
Xsec    0	w= 372.840 n=0.035 z=400.219
Xsec    0	QVAR from bdy file mahanadi_inflow
Xsec    1	w= 491.970 n=0.035 z=395.007
Xsec    2	w= 578.590 n=0.035 z=389.194
Xsec    3	w= 649.150 n=0.035 z=382.627
Xsec    4	w= 709.760 n=0.035 z=375.254
Xsec    5	w= 763.460 n=0.035 z=370.142
Xsec    6	w= 812.010 n=0.035 z=364.904
Xsec    7	w= 856.560 n=0.035 z=360.513
Xsec    8	w= 897.880 n=0.035 z=355.923
Xsec    9	w= 936.530 n=0.035 z=351.494
Xsec   10	w= 972.930 n=0.035 z=347.386
Xsec   11	w=1007.390 n=0.035 z=344.054
Xsec   12	w=1040.160 n=0.035 z=340.721
Xsec   13	w=1071.460 n=0.035 z=337.645
Xsec   14	w=1101.440 n=0.035 z=334.671
Xsec   15	w=1130.240 n=0.035 z=332.133
Xsec   16	w=1157.990 n=0.035 z=329.869
Xsec   17	w=1184.770 n=0.035 z=327.733
Xsec   18	w=1210.670 n=0.035 z=325.352
Xsec   19	w=1235.760 n=0.035 z=323.086
Xsec   20	w=1260.120 n=0.035 z=320.918
Xsec   21	w=1283.790 n=0.035 z=318.819
Xsec   22	w=1306.820 n=0.035 z=317.223
Xsec   23	w=1329.250 n=0.035 z=315.323
Xsec   24	w=1351.140 n=0.035 z=313.229
Xsec   25	w=1372.500 n=0.035 z=311.214
Xsec   26	w=1393.380 n=0.035 z=309.067
Xsec   27	w=1413.800 n=0.035 z=306.957
Xsec   28	w=1433.780 n=0.035 z=304.978
Xsec   29	w=1453.360 n=0.035 z=302.778
Xsec   30	w=1472.540 n=0.035 z=300.777
Xsec   31	w=1491.360 n=0.035 z=299.334
Xsec   32	w=1509.830 n=0.035 z=298.093
Xsec   33	w=1527.970 n=0.035 z=296.834
Xsec   34	w=1545.790 n=0.035 z=295.674
Xsec   35	w=1563.310 n=0.035 z=294.321
Xsec   36	w=1580.540 n=0.035 z=293.198
Xsec   37	w=1597.490 n=0.035 z=292.209
Xsec   38	w=1614.170 n=0.035 z=291.076
Xsec   39	w=1630.600 n=0.035 z=289.842
Xsec   40	w=1646.790 n=0.035 z=288.735
Xsec   41	w=1662.740 n=0.035 z=287.722
Xsec   42	w=1678.460 n=0.035 z=287.094
Xsec   43	w=1693.970 n=0.035 z=286.430
Xsec   44	w=1709.260 n=0.035 z=285.889
Xsec   45	w=1724.350 n=0.035 z=285.036
Xsec   46	w=1739.250 n=0.035 z=284.431
Xsec   47	w=1753.960 n=0.035 z=283.450
Xsec   48	w=1768.490 n=0.035 z=282.523
Xsec   49	w=1782.840 n=0.035 z=281.585
Xsec   50	w=1797.010 n=0.035 z=280.747
Xsec   51	w=1811.030 n=0.035 z=279.755
Xsec   52	w=1824.880 n=0.035 z=279.148
Xsec   53	w=1838.570 n=0.035 z=278.014
Xsec   54	w=1852.120 n=0.035 z=277.100
Xsec   55	w=1865.510 n=0.035 z=276.411
Xsec   56	w=1878.770 n=0.035 z=275.446
Xsec   57	w=1891.880 n=0.035 z=274.675
Xsec   58	w=1904.870 n=0.035 z=273.871
Xsec   59	w=1917.710 n=0.035 z=272.997
Xsec   60	w=1930.440 n=0.035 z=272.590
Xsec   61	w=1943.030 n=0.035 z=272.272
Xsec   62	w=1955.510 n=0.035 z=271.788
Xsec   63	w=1967.870 n=0.035 z=271.417
Xsec   64	w=1980.110 n=0.035 z=270.787
Xsec   65	w=1992.240 n=0.035 z=270.375
Xsec   66	w=2004.260 n=0.035 z=269.868
Xsec   67	w=2016.170 n=0.035 z=269.337
Xsec   68	w=2027.980 n=0.035 z=268.885
Xsec   69	w=2039.680 n=0.035 z=268.406
Xsec   70	w=2051.290 n=0.035 z=268.128
Xsec   71	w=2062.800 n=0.035 z=267.687
Xsec   72	w=2074.210 n=0.035 z=267.258
Xsec   73	w=2085.530 n=0.035 z=266.866
Xsec   74	w=2096.760 n=0.035 z=266.308
Xsec   75	w=2107.890 n=0.035 z=265.751
Xsec   76	w=2118.950 n=0.035 z=265.097
Xsec   77	w=2129.910 n=0.035 z=264.403
Xsec   78	w=2140.790 n=0.035 z=263.751
Xsec   79	w=2151.590 n=0.035 z=263.127
Xsec   80	w=2162.310 n=0.035 z=262.604
Xsec   81	w=2172.950 n=0.035 z=262.139
Xsec   82	w=2183.510 n=0.035 z=261.651
Xsec   83	w=2193.990 n=0.035 z=261.139
Xsec   84	w=2204.400 n=0.035 z=260.675
Xsec   85	w=2214.740 n=0.035 z=260.073
Xsec   86	w=2225.010 n=0.035 z=259.146
Xsec   87	w=2235.200 n=0.035 z=258.306
Xsec   88	w=2245.330 n=0.035 z=257.586
Xsec   89	w=2255.380 n=0.035 z=256.791
Xsec   90	w=2265.370 n=0.035 z=256.274
Xsec   91	w=2275.300 n=0.035 z=255.354
Xsec   92	w=2285.160 n=0.035 z=254.732
Xsec   93	w=2294.960 n=0.035 z=254.175
Xsec   94	w=2304.690 n=0.035 z=253.335
Xsec   95	w=2314.370 n=0.035 z=252.404
Xsec   96	w=2323.980 n=0.035 z=251.376
Xsec   97	w=2333.530 n=0.035 z=250.525
Xsec   98	w=2343.030 n=0.035 z=249.905
Xsec   99	w=2352.470 n=0.035 z=248.995
Xsec  100	w=2361.850 n=0.035 z=248.437
Xsec  101	w=2371.170 n=0.035 z=247.882
Xsec  102	w=2380.450 n=0.035 z=247.330
Xsec  103	w=2389.660 n=0.035 z=247.281
Xsec  104	w=2398.830 n=0.035 z=246.965
Xsec  105	w=2407.940 n=0.035 z=246.637
Xsec  106	w=2417.000 n=0.035 z=246.627
Xsec  107	w=2426.010 n=0.035 z=245.999
Xsec  108	w=2434.970 n=0.035 z=245.338
Xsec  109	w=2443.880 n=0.035 z=244.870
